NAF name,Team,Race,Coach,Tournament,Rank,#,Alltime high,Avg Position,Avg Race NAF Rank,Avg Score,Avg_Alltime high,Avg_Coach rating,Avg_Win %,Avg_Year high,Coach rating,Description,Field_1,FileName,Individual Score,NAF #,NAF + Team Name,Naf nick,Number of Coaches,Number of Position,Number of Race,Number of Races,Package,PDF Name,Race Frequency,Races,Seeding,Seeding - Avg Alltime High,Seeding - Avg Win %,Seeding - Coach Rating,Seeding - Race Rank,Seeding - Year High,Skill,Stars,Type,Win %,Year high
RandomJunk,3 Scots and Token English,Orc,RandomJunk_33387.pdf,Europen,150,,162.75,0.4,158.8,179.2,179.2,173.8,63.2,177.9,162.75,Assistant coaches,0,eb_roster_extracted_20250923T074724,162.75,33387,RandomJunk_33387.pdf3 Scots and Token English,RandomJunk,797,17,42,30,Training camp,RandomJunk_33387.pdf,42,30,99,99,9,76,77,81,1,Other,Others,58.33,162.75
RandomJunk,3 Scots and Token English,Orc,RandomJunk_33387.pdf,Europen,150,,162.75,1.0,158.8,179.2,179.2,173.8,63.2,177.9,162.75,Re-rolls,0,eb_roster_extracted_20250923T074724,162.75,33387,RandomJunk_33387.pdf3 Scots and Token English,RandomJunk,797,42,42,30,Training camp,RandomJunk_33387.pdf,42,30,99,99,9,76,77,81,2,Other,Others,58.33,162.75
RandomJunk,3 Scots and Token English,Orc,RandomJunk_33387.pdf,Europen,150,1,162.75,4.0,158.8,179.2,179.2,173.8,63.2,177.9,162.75,Big Un Blocker,0,eb_roster_extracted_20250923T074724,162.75,33387,RandomJunk_33387.pdf3 Scots and Token English,RandomJunk,797,168,42,30,Training camp,RandomJunk_33387.pdf,42,30,99,99,9,76,77,81,Guard,Other,Players,58.33,162.75
RandomJunk,3 Scots and Token English,Orc,RandomJunk_33387.pdf,Europen,150,10,162.75,2.0,158.8,179.2,179.2,173.8,63.2,177.9,162.75,Orc Lineman,0,eb_roster_extracted_20250923T074724,162.75,33387,RandomJunk_33387.pdf3 Scots and Token English,RandomJunk,797,86,42,30,Training camp,RandomJunk_33387.pdf,42,30,99,99,9,76,77,81, ,Other,Players,58.33,162.75
RandomJunk,3 Scots and Token English,Orc,RandomJunk_33387.pdf,Europen,150,11,162.75,2.0,158.8,179.2,179.2,173.8,63.2,177.9,162.75,Orc Lineman,0,eb_roster_extracted_20250923T074724,162.75,33387,RandomJunk_33387.pdf3 Scots and Token English,RandomJunk,797,86,42,30,Training camp,RandomJunk_33387.pdf,42,30,99,99,9,76,77,81, ,Other,Players,58.33,162.75
RandomJunk,3 Scots and Token English,Orc,RandomJunk_33387.pdf,Europen,150,12,162.75,2.0,158.8,179.2,179.2,173.8,63.2,177.9,162.75,Orc Lineman,0,eb_roster_extracted_20250923T074724,162.75,33387,RandomJunk_33387.pdf3 Scots and Token English,RandomJunk,797,86,42,30,Training camp,RandomJunk_33387.pdf,42,30,99,99,9,76,77,81, ,Other,Players,58.33,162.75
RandomJunk,3 Scots and Token English,Orc,RandomJunk_33387.pdf,Europen,150,2,162.75,4.0,158.8,179.2,179.2,173.8,63.2,177.9,162.75,Big Un Blocker,0,eb_roster_extracted_20250923T074724,162.75,33387,RandomJunk_33387.pdf3 Scots and Token English,RandomJunk,797,168,42,30,Training camp,RandomJunk_33387.pdf,42,30,99,99,9,76,77,81,Guard,Other,Players,58.33,162.75
RandomJunk,3 Scots and Token English,Orc,RandomJunk_33387.pdf,Europen,150,3,162.75,4.0,158.8,179.2,179.2,173.8,63.2,177.9,162.75,Big Un Blocker,0,eb_roster_extracted_20250923T074724,162.75,33387,RandomJunk_33387.pdf3 Scots and Token English,RandomJunk,797,168,42,30,Training camp,RandomJunk_33387.pdf,42,30,99,99,9,76,77,81,Guard,Other,Players,58.33,162.75
RandomJunk,3 Scots and Token English,Orc,RandomJunk_33387.pdf,Europen,150,4,162.75,4.0,158.8,179.2,179.2,173.8,63.2,177.9,162.75,Big Un Blocker,0,eb_roster_extracted_20250923T074724,162.75,33387,RandomJunk_33387.pdf3 Scots and Token English,RandomJunk,797,168,42,30,Training camp,RandomJunk_33387.pdf,42,30,99,99,9,76,77,81, ,Other,Players,58.33,162.75
RandomJunk,3 Scots and Token English,Orc,RandomJunk_33387.pdf,Europen,150,5,162.75,4.0,158.8,179.2,179.2,173.8,63.2,177.9,162.75,Blitzer,0,eb_roster_extracted_20250923T074724,162.75,33387,RandomJunk_33387.pdf3 Scots and Token English,RandomJunk,797,168,42,30,Training camp,RandomJunk_33387.pdf,42,30,99,99,9,76,77,81,Guard,Other,Players,58.33,162.75
RandomJunk,3 Scots and Token English,Orc,RandomJunk_33387.pdf,Europen,150,6,162.75,4.0,158.8,179.2,179.2,173.8,63.2,177.9,162.75,Blitzer,0,eb_roster_extracted_20250923T074724,162.75,33387,RandomJunk_33387.pdf3 Scots and Token English,RandomJunk,797,168,42,30,Training camp,RandomJunk_33387.pdf,42,30,99,99,9,76,77,81,Mighty Blow (+1),Other,Players,58.33,162.75
RandomJunk,3 Scots and Token English,Orc,RandomJunk_33387.pdf,Europen,150,7,162.75,4.0,158.8,179.2,179.2,173.8,63.2,177.9,162.75,Blitzer,0,eb_roster_extracted_20250923T074724,162.75,33387,RandomJunk_33387.pdf3 Scots and Token English,RandomJunk,797,168,42,30,Training camp,RandomJunk_33387.pdf,42,30,99,99,9,76,77,81,Mighty Blow (+1),Other,Players,58.33,162.75
RandomJunk,3 Scots and Token English,Orc,RandomJunk_33387.pdf,Europen,150,8,162.75,4.0,158.8,179.2,179.2,173.8,63.2,177.9,162.75,Blitzer,0,eb_roster_extracted_20250923T074724,162.75,33387,RandomJunk_33387.pdf3 Scots and Token English,RandomJunk,797,168,42,30,Training camp,RandomJunk_33387.pdf,42,30,99,99,9,76,77,81,Tackle,Other,Players,58.33,162.75
RandomJunk,3 Scots and Token English,Orc,RandomJunk_33387.pdf,Europen,150,9,162.75,0.8,158.8,179.2,179.2,173.8,63.2,177.9,162.75,Thrower,0,eb_roster_extracted_20250923T074724,162.75,33387,RandomJunk_33387.pdf3 Scots and Token English,RandomJunk,797,33,42,30,Training camp,RandomJunk_33387.pdf,42,30,99,99,9,76,77,81,Leader,Other,Players,58.33,162.75
SnarkyHobbit,3 Scots and Token English,Necromantic Horror,SnarkyHobbit_39237.pdf,Europen,149.35,,147.69,1.0,158.8,179.2,179.2,173.8,63.2,177.9,142.64,Re-rolls,2,eb_roster_extracted_20250923T074724,147.69,39237,SnarkyHobbit_39237.pdf3 Scots and Token English,SnarkyHobbit,797,73,73,30,Quantity over quality,SnarkyHobbit_39237.pdf,73,30,99,99,9,76,77,81,3,Other,Others,34.62,142.64
SnarkyHobbit,3 Scots and Token English,Necromantic Horror,SnarkyHobbit_39237.pdf,Europen,149.35,1,147.69,2.0,158.8,179.2,179.2,173.8,63.2,177.9,142.64,Flesh Golem,2,eb_roster_extracted_20250923T074724,147.69,39237,SnarkyHobbit_39237.pdf3 Scots and Token English,SnarkyHobbit,797,146,73,30,Quantity over quality,SnarkyHobbit_39237.pdf,73,30,99,99,9,76,77,81,Guard,Other,Players,34.62,142.64
SnarkyHobbit,3 Scots and Token English,Necromantic Horror,SnarkyHobbit_39237.pdf,Europen,149.35,10,147.69,4.3,158.8,179.2,179.2,173.8,63.2,177.9,142.64,Zombie,2,eb_roster_extracted_20250923T074724,147.69,39237,SnarkyHobbit_39237.pdf3 Scots and Token English,SnarkyHobbit,797,312,73,30,Quantity over quality,SnarkyHobbit_39237.pdf,73,30,99,99,9,76,77,81, ,Other,Players,34.62,142.64
SnarkyHobbit,3 Scots and Token English,Necromantic Horror,SnarkyHobbit_39237.pdf,Europen,149.35,11,147.69,4.3,158.8,179.2,179.2,173.8,63.2,177.9,142.64,Zombie,2,eb_roster_extracted_20250923T074724,147.69,39237,SnarkyHobbit_39237.pdf3 Scots and Token English,SnarkyHobbit,797,312,73,30,Quantity over quality,SnarkyHobbit_39237.pdf,73,30,99,99,9,76,77,81, ,Other,Players,34.62,142.64
SnarkyHobbit,3 Scots and Token English,Necromantic Horror,SnarkyHobbit_39237.pdf,Europen,149.35,12,147.69,4.3,158.8,179.2,179.2,173.8,63.2,177.9,142.64,Zombie,2,eb_roster_extracted_20250923T074724,147.69,39237,SnarkyHobbit_39237.pdf3 Scots and Token English,SnarkyHobbit,797,312,73,30,Quantity over quality,SnarkyHobbit_39237.pdf,73,30,99,99,9,76,77,81, ,Other,Players,34.62,142.64
SnarkyHobbit,3 Scots and Token English,Necromantic Horror,SnarkyHobbit_39237.pdf,Europen,149.35,2,147.69,2.0,158.8,179.2,179.2,173.8,63.2,177.9,142.64,Flesh Golem,2,eb_roster_extracted_20250923T074724,147.69,39237,SnarkyHobbit_39237.pdf3 Scots and Token English,SnarkyHobbit,797,146,73,30,Quantity over quality,SnarkyHobbit_39237.pdf,73,30,99,99,9,76,77,81,Guard,Other,Players,34.62,142.64
SnarkyHobbit,3 Scots and Token English,Necromantic Horror,SnarkyHobbit_39237.pdf,Europen,149.35,3,147.69,1.9,158.8,179.2,179.2,173.8,63.2,177.9,142.64,Ghoul Runner,2,eb_roster_extracted_20250923T074724,147.69,39237,SnarkyHobbit_39237.pdf3 Scots and Token English,SnarkyHobbit,797,140,73,30,Quantity over quality,SnarkyHobbit_39237.pdf,73,30,99,99,9,76,77,81,Block,Other,Players,34.62,142.64
SnarkyHobbit,3 Scots and Token English,Necromantic Horror,SnarkyHobbit_39237.pdf,Europen,149.35,4,147.69,1.7,158.8,179.2,179.2,173.8,63.2,177.9,142.64,Werewolf,2,eb_roster_extracted_20250923T074724,147.69,39237,SnarkyHobbit_39237.pdf3 Scots and Token English,SnarkyHobbit,797,125,73,30,Quantity over quality,SnarkyHobbit_39237.pdf,73,30,99,99,9,76,77,81,Block,Other,Players,34.62,142.64
SnarkyHobbit,3 Scots and Token English,Necromantic Horror,SnarkyHobbit_39237.pdf,Europen,149.35,5,147.69,1.7,158.8,179.2,179.2,173.8,63.2,177.9,142.64,Werewolf,2,eb_roster_extracted_20250923T074724,147.69,39237,SnarkyHobbit_39237.pdf3 Scots and Token English,SnarkyHobbit,797,125,73,30,Quantity over quality,SnarkyHobbit_39237.pdf,73,30,99,99,9,76,77,81,Wrestle,Other,Players,34.62,142.64
SnarkyHobbit,3 Scots and Token English,Necromantic Horror,SnarkyHobbit_39237.pdf,Europen,149.35,6,147.69,2.0,158.8,179.2,179.2,173.8,63.2,177.9,142.64,Wraith,2,eb_roster_extracted_20250923T074724,147.69,39237,SnarkyHobbit_39237.pdf3 Scots and Token English,SnarkyHobbit,797,146,73,30,Quantity over quality,SnarkyHobbit_39237.pdf,73,30,99,99,9,76,77,81,Guard,Other,Players,34.62,142.64
SnarkyHobbit,3 Scots and Token English,Necromantic Horror,SnarkyHobbit_39237.pdf,Europen,149.35,7,147.69,2.0,158.8,179.2,179.2,173.8,63.2,177.9,142.64,Wraith,2,eb_roster_extracted_20250923T074724,147.69,39237,SnarkyHobbit_39237.pdf3 Scots and Token English,SnarkyHobbit,797,146,73,30,Quantity over quality,SnarkyHobbit_39237.pdf,73,30,99,99,9,76,77,81,Guard,Other,Players,34.62,142.64
SnarkyHobbit,3 Scots and Token English,Necromantic Horror,SnarkyHobbit_39237.pdf,Europen,149.35,8,147.69,4.3,158.8,179.2,179.2,173.8,63.2,177.9,142.64,Zombie,2,eb_roster_extracted_20250923T074724,147.69,39237,SnarkyHobbit_39237.pdf3 Scots and Token English,SnarkyHobbit,797,312,73,30,Quantity over quality,SnarkyHobbit_39237.pdf,73,30,99,99,9,76,77,81, ,Other,Players,34.62,142.64
SnarkyHobbit,3 Scots and Token English,Necromantic Horror,SnarkyHobbit_39237.pdf,Europen,149.35,9,147.69,4.3,158.8,179.2,179.2,173.8,63.2,177.9,142.64,Zombie,2,eb_roster_extracted_20250923T074724,147.69,39237,SnarkyHobbit_39237.pdf3 Scots and Token English,SnarkyHobbit,797,312,73,30,Quantity over quality,SnarkyHobbit_39237.pdf,73,30,99,99,9,76,77,81, ,Other,Players,34.62,142.64
Tector,3 Scots and Token English,Lizardmen,Tector,Europen,150,,160.41,0.2,158.8,179.2,179.2,173.8,63.2,177.9,160.41,Apothecary,3,eb_roster_extracted_20250923T074724,160.41,39992,Tector3 Scots and Token English,tector,797,3,17,30,None,Tector_39992.pdf,17,30,99,99,9,76,77,81,1,Other,Others,100,160.41
Tector,3 Scots and Token English,Lizardmen,Tector,Europen,150,,160.41,0.4,158.8,179.2,179.2,173.8,63.2,177.9,160.41,Assistant coaches,3,eb_roster_extracted_20250923T074724,160.41,39992,Tector3 Scots and Token English,tector,797,6,17,30,None,Tector_39992.pdf,17,30,99,99,9,76,77,81,1,Other,Others,100,160.41
Tector,3 Scots and Token English,Lizardmen,Tector,Europen,150,,160.41,1.0,158.8,179.2,179.2,173.8,63.2,177.9,160.41,Re-rolls,3,eb_roster_extracted_20250923T074724,160.41,39992,Tector3 Scots and Token English,tector,797,17,17,30,None,Tector_39992.pdf,17,30,99,99,9,76,77,81,2,Other,Others,100,160.41
Tector,3 Scots and Token English,Lizardmen,Tector,Europen,150,1,160.41,1.0,158.8,179.2,179.2,173.8,63.2,177.9,160.41,Kroxigor,3,eb_roster_extracted_20250923T074724,160.41,39992,Tector3 Scots and Token English,tector,797,17,17,30,None,Tector_39992.pdf,17,30,99,99,9,76,77,81, ,Other,Players,100,160.41
Tector,3 Scots and Token English,Lizardmen,Tector,Europen,150,10,160.41,4.2,158.8,179.2,179.2,173.8,63.2,177.9,160.41,Skink Runner Lineman,3,eb_roster_extracted_20250923T074724,160.41,39992,Tector3 Scots and Token English,tector,797,72,17,30,None,Tector_39992.pdf,17,30,99,99,9,76,77,81, ,Other,Players,100,160.41
Tector,3 Scots and Token English,Lizardmen,Tector,Europen,150,11,160.41,0.5,158.8,179.2,179.2,173.8,63.2,177.9,160.41,Chameleon Skink,3,eb_roster_extracted_20250923T074724,160.41,39992,Tector3 Scots and Token English,tector,797,9,17,30,None,Tector_39992.pdf,17,30,99,99,9,76,77,81, ,Other,Players,100,160.41
Tector,3 Scots and Token English,Lizardmen,Tector,Europen,150,2,160.41,6.0,158.8,179.2,179.2,173.8,63.2,177.9,160.41,Saurus Blocker,3,eb_roster_extracted_20250923T074724,160.41,39992,Tector3 Scots and Token English,tector,797,102,17,30,None,Tector_39992.pdf,17,30,99,99,9,76,77,81,Block,Other,Players,100,160.41
Tector,3 Scots and Token English,Lizardmen,Tector,Europen,150,3,160.41,6.0,158.8,179.2,179.2,173.8,63.2,177.9,160.41,Saurus Blocker,3,eb_roster_extracted_20250923T074724,160.41,39992,Tector3 Scots and Token English,tector,797,102,17,30,None,Tector_39992.pdf,17,30,99,99,9,76,77,81,Block,Other,Players,100,160.41
Tector,3 Scots and Token English,Lizardmen,Tector,Europen,150,4,160.41,6.0,158.8,179.2,179.2,173.8,63.2,177.9,160.41,Saurus Blocker,3,eb_roster_extracted_20250923T074724,160.41,39992,Tector3 Scots and Token English,tector,797,102,17,30,None,Tector_39992.pdf,17,30,99,99,9,76,77,81,Block,Other,Players,100,160.41
Tector,3 Scots and Token English,Lizardmen,Tector,Europen,150,5,160.41,6.0,158.8,179.2,179.2,173.8,63.2,177.9,160.41,Saurus Blocker,3,eb_roster_extracted_20250923T074724,160.41,39992,Tector3 Scots and Token English,tector,797,102,17,30,None,Tector_39992.pdf,17,30,99,99,9,76,77,81,Block,Other,Players,100,160.41
Tector,3 Scots and Token English,Lizardmen,Tector,Europen,150,6,160.41,6.0,158.8,179.2,179.2,173.8,63.2,177.9,160.41,Saurus Blocker,3,eb_roster_extracted_20250923T074724,160.41,39992,Tector3 Scots and Token English,tector,797,102,17,30,None,Tector_39992.pdf,17,30,99,99,9,76,77,81,Guard,Other,Players,100,160.41
Tector,3 Scots and Token English,Lizardmen,Tector,Europen,150,7,160.41,6.0,158.8,179.2,179.2,173.8,63.2,177.9,160.41,Saurus Blocker,3,eb_roster_extracted_20250923T074724,160.41,39992,Tector3 Scots and Token English,tector,797,102,17,30,None,Tector_39992.pdf,17,30,99,99,9,76,77,81,Guard,Other,Players,100,160.41
Tector,3 Scots and Token English,Lizardmen,Tector,Europen,150,8,160.41,4.2,158.8,179.2,179.2,173.8,63.2,177.9,160.41,Skink Runner Lineman,3,eb_roster_extracted_20250923T074724,160.41,39992,Tector3 Scots and Token English,tector,797,72,17,30,None,Tector_39992.pdf,17,30,99,99,9,76,77,81, ,Other,Players,100,160.41
Tector,3 Scots and Token English,Lizardmen,Tector,Europen,150,9,160.41,4.2,158.8,179.2,179.2,173.8,63.2,177.9,160.41,Skink Runner Lineman,3,eb_roster_extracted_20250923T074724,160.41,39992,Tector3 Scots and Token English,tector,797,72,17,30,None,Tector_39992.pdf,17,30,99,99,9,76,77,81, ,Other,Players,100,160.41
HerraMonologi,3rd Fishcock Expedition,Orc,HerraMonologi,Europen,154.34,,165.32,1.0,153.1,166.9,166.9,154.2,45.8,124.1,155.84,Re-rolls,5,eb_roster_extracted_20250923T074724,165.32,23911,HerraMonologi3rd Fishcock Expedition,herramonologi,797,42,42,30,Quantity over quality,HerraMonologi_23911.pdf,42,30,115,115,101,107,100,130,3,Other,Others,50,0
HerraMonologi,3rd Fishcock Expedition,Orc,HerraMonologi,Europen,154.34,1,165.32,4.0,153.1,166.9,166.9,154.2,45.8,124.1,155.84,Big Un Blocker,5,eb_roster_extracted_20250923T074724,165.32,23911,HerraMonologi3rd Fishcock Expedition,herramonologi,797,168,42,30,Quantity over quality,HerraMonologi_23911.pdf,42,30,115,115,101,107,100,130,Guard,Other,Players,50,0
HerraMonologi,3rd Fishcock Expedition,Orc,HerraMonologi,Europen,154.34,10,165.32,2.0,153.1,166.9,166.9,154.2,45.8,124.1,155.84,Orc Lineman,5,eb_roster_extracted_20250923T074724,165.32,23911,HerraMonologi3rd Fishcock Expedition,herramonologi,797,86,42,30,Quantity over quality,HerraMonologi_23911.pdf,42,30,115,115,101,107,100,130, ,Other,Players,50,0
HerraMonologi,3rd Fishcock Expedition,Orc,HerraMonologi,Europen,154.34,11,165.32,0.8,153.1,166.9,166.9,154.2,45.8,124.1,155.84,Thrower,5,eb_roster_extracted_20250923T074724,165.32,23911,HerraMonologi3rd Fishcock Expedition,herramonologi,797,33,42,30,Quantity over quality,HerraMonologi_23911.pdf,42,30,115,115,101,107,100,130, ,Other,Players,50,0
HerraMonologi,3rd Fishcock Expedition,Orc,HerraMonologi,Europen,154.34,12,165.32,0.7,153.1,166.9,166.9,154.2,45.8,124.1,155.84,Goblin,5,eb_roster_extracted_20250923T074724,165.32,23911,HerraMonologi3rd Fishcock Expedition,herramonologi,797,31,42,30,Quantity over quality,HerraMonologi_23911.pdf,42,30,115,115,101,107,100,130, ,Other,Players,50,0
HerraMonologi,3rd Fishcock Expedition,Orc,HerraMonologi,Europen,154.34,2,165.32,4.0,153.1,166.9,166.9,154.2,45.8,124.1,155.84,Big Un Blocker,5,eb_roster_extracted_20250923T074724,165.32,23911,HerraMonologi3rd Fishcock Expedition,herramonologi,797,168,42,30,Quantity over quality,HerraMonologi_23911.pdf,42,30,115,115,101,107,100,130,Guard,Other,Players,50,0
HerraMonologi,3rd Fishcock Expedition,Orc,HerraMonologi,Europen,154.34,3,165.32,4.0,153.1,166.9,166.9,154.2,45.8,124.1,155.84,Big Un Blocker,5,eb_roster_extracted_20250923T074724,165.32,23911,HerraMonologi3rd Fishcock Expedition,herramonologi,797,168,42,30,Quantity over quality,HerraMonologi_23911.pdf,42,30,115,115,101,107,100,130,Guard,Other,Players,50,0
HerraMonologi,3rd Fishcock Expedition,Orc,HerraMonologi,Europen,154.34,4,165.32,4.0,153.1,166.9,166.9,154.2,45.8,124.1,155.84,Big Un Blocker,5,eb_roster_extracted_20250923T074724,165.32,23911,HerraMonologi3rd Fishcock Expedition,herramonologi,797,168,42,30,Quantity over quality,HerraMonologi_23911.pdf,42,30,115,115,101,107,100,130,Guard,Other,Players,50,0
HerraMonologi,3rd Fishcock Expedition,Orc,HerraMonologi,Europen,154.34,5,165.32,4.0,153.1,166.9,166.9,154.2,45.8,124.1,155.84,Blitzer,5,eb_roster_extracted_20250923T074724,165.32,23911,HerraMonologi3rd Fishcock Expedition,herramonologi,797,168,42,30,Quantity over quality,HerraMonologi_23911.pdf,42,30,115,115,101,107,100,130,"Tackle, Mighty Blow (+1)",Other,Players,50,0
HerraMonologi,3rd Fishcock Expedition,Orc,HerraMonologi,Europen,154.34,6,165.32,4.0,153.1,166.9,166.9,154.2,45.8,124.1,155.84,Blitzer,5,eb_roster_extracted_20250923T074724,165.32,23911,HerraMonologi3rd Fishcock Expedition,herramonologi,797,168,42,30,Quantity over quality,HerraMonologi_23911.pdf,42,30,115,115,101,107,100,130, ,Other,Players,50,0
HerraMonologi,3rd Fishcock Expedition,Orc,HerraMonologi,Europen,154.34,7,165.32,4.0,153.1,166.9,166.9,154.2,45.8,124.1,155.84,Blitzer,5,eb_roster_extracted_20250923T074724,165.32,23911,HerraMonologi3rd Fishcock Expedition,herramonologi,797,168,42,30,Quantity over quality,HerraMonologi_23911.pdf,42,30,115,115,101,107,100,130, ,Other,Players,50,0
