,number,position,skills,cnt,team_id,coach_name,tournament_name,roster.name
29,3,Bloater,Mighty Blow,1,160914,Vlad Zinchenko,Welcome to the 3rd Edition,Nurgle
30,4,Bloater,Block,1,160914,Vlad Zinchenko,Welcome to the 3rd Edition,Nurgle
31,5,Bloater,Block,1,160914,Vlad Zinchenko,Welcome to the 3rd Edition,Nurgle
32,6,Pestigor,Tackle,1,160914,Vlad Zinchenko,Welcome to the 3rd Edition,Nurgle
33,7,Pestigor,Wrestle,1,160914,Vlad Zinchenko,Welcome to the 3rd Edition,Nurgle
34,8,Rotter Lineman,,1,160914,Vlad Zinchenko,Welcome to the 3rd Edition,Nurgle
35,9,Rotter Lineman,,1,160914,Vlad Zinchenko,Welcome to the 3rd Edition,Nurgle
36,10,Rotter Lineman,,1,160914,Vlad Zinchenko,Welcome to the 3rd Edition,Nurgle
37,11,Rotter Lineman,,1,160914,Vlad Zinchenko,Welcome to the 3rd Edition,Nurgle
38,12,Rotter Lineman,,1,160914,Vlad Zinchenko,Welcome to the 3rd Edition,Nurgle
39,99,rerolls,,3,160914,Vlad Zinchenko,Welcome to the 3rd Edition,Nurgle
40,99,BlitzerBestKeg,,1,160914,Vlad Zinchenko,Welcome to the 3rd Edition,Nurgle
41,1,Tomb Guardian,Block,1,160933,LockerRoomOverlord,Welcome to the 3rd Edition,Tomb Kings
42,2,Tomb Guardian,Guard,1,160933,LockerRoomOverlord,Welcome to the 3rd Edition,Tomb Kings
43,3,Tomb Guardian,Guard,1,160933,LockerRoomOverlord,Welcome to the 3rd Edition,Tomb Kings
44,4,Tomb Guardian,,1,160933,LockerRoomOverlord,Welcome to the 3rd Edition,Tomb Kings
45,7,Tomb Kings Thrower,Block,1,160933,LockerRoomOverlord,Welcome to the 3rd Edition,Tomb Kings
46,8,Tomb Kings Thrower,Leader,1,160933,LockerRoomOverlord,Welcome to the 3rd Edition,Tomb Kings
47,5,Tomb Kings Blitzer,Strip Ball,1,160933,LockerRoomOverlord,Welcome to the 3rd Edition,Tomb Kings
48,6,Tomb Kings Blitzer,Tackle,1,160933,LockerRoomOverlord,Welcome to the 3rd Edition,Tomb Kings
49,9,Skeleton Lineman,,1,160933,LockerRoomOverlord,Welcome to the 3rd Edition,Tomb Kings
50,10,Skeleton Lineman,,1,160933,LockerRoomOverlord,Welcome to the 3rd Edition,Tomb Kings
51,11,Skeleton Lineman,,1,160933,LockerRoomOverlord,Welcome to the 3rd Edition,Tomb Kings
52,12,Skeleton Lineman,,1,160933,LockerRoomOverlord,Welcome to the 3rd Edition,Tomb Kings
53,13,Skeleton Lineman,,1,160933,LockerRoomOverlord,Welcome to the 3rd Edition,Tomb Kings
54,99,rerolls,,3,160933,LockerRoomOverlord,Welcome to the 3rd Edition,Tomb Kings
55,99,cheerleaders,,1,160933,LockerRoomOverlord,Welcome to the 3rd Edition,Tomb Kings
56,1,Vampire Thrower,Leader,1,161022,Scorpius,Welcome to the 3rd Edition,Vampire
57,2,Vampire Thrower,Block,1,161022,Scorpius,Welcome to the 3rd Edition,Vampire
58,3,Vampire Runner,Dodge,1,161022,Scorpius,Welcome to the 3rd Edition,Vampire
59,4,Vampire Runner,Dodge,1,161022,Scorpius,Welcome to the 3rd Edition,Vampire
60,5,Vampire Blitzer,Block,1,161022,Scorpius,Welcome to the 3rd Edition,Vampire
61,6,Thrall Lineman,Block,1,161022,Scorpius,Welcome to the 3rd Edition,Vampire
62,7,Thrall Lineman,Block,1,161022,Scorpius,Welcome to the 3rd Edition,Vampire
63,8,Thrall Lineman,,1,161022,Scorpius,Welcome to the 3rd Edition,Vampire
64,9,Thrall Lineman,,1,161022,Scorpius,Welcome to the 3rd Edition,Vampire
65,10,Thrall Lineman,,1,161022,Scorpius,Welcome to the 3rd Edition,Vampire
66,11,Thrall Lineman,,1,161022,Scorpius,Welcome to the 3rd Edition,Vampire
67,12,Thrall Lineman,,1,161022,Scorpius,Welcome to the 3rd Edition,Vampire
68,13,Thrall Lineman,,1,161022,Scorpius,Welcome to the 3rd Edition,Vampire
69,99,rerolls,,5,161022,Scorpius,Welcome to the 3rd Edition,Vampire
70,1,Witch Elf,Block,1,160099,Oleg (Vicious),Welcome to the 3rd Edition,Dark Elf
71,2,Witch Elf,Block,1,160099,Oleg (Vicious),Welcome to the 3rd Edition,Dark Elf
72,3,Dark Elf Blitzer,Dodge,1,160099,Oleg (Vicious),Welcome to the 3rd Edition,Dark Elf
73,4,Dark Elf Blitzer,Dodge,1,160099,Oleg (Vicious),Welcome to the 3rd Edition,Dark Elf
74,5,Dark Elf Assassin,,1,160099,Oleg (Vicious),Welcome to the 3rd Edition,Dark Elf
75,6,Dark Elf Assassin,,1,160099,Oleg (Vicious),Welcome to the 3rd Edition,Dark Elf
76,7,Dark Elf Runner,Leader,1,160099,Oleg (Vicious),Welcome to the 3rd Edition,Dark Elf
77,9,Dark Elf Lineman,Guard,1,160099,Oleg (Vicious),Welcome to the 3rd Edition,Dark Elf
78,10,Dark Elf Lineman,,1,160099,Oleg (Vicious),Welcome to the 3rd Edition,Dark Elf
79,11,Dark Elf Lineman,,1,160099,Oleg (Vicious),Welcome to the 3rd Edition,Dark Elf
80,12,Dark Elf Lineman,,1,160099,Oleg (Vicious),Welcome to the 3rd Edition,Dark Elf
81,8,Dark Elf Runner,Strip Ball,1,160099,Oleg (Vicious),Welcome to the 3rd Edition,Dark Elf
82,99,rerolls,,2,160099,Oleg (Vicious),Welcome to the 3rd Edition,Dark Elf
83,99,assistant_coaches,,1,160099,Oleg (Vicious),Welcome to the 3rd Edition,Dark Elf
84,99,cheerleaders,,1,160099,Oleg (Vicious),Welcome to the 3rd Edition,Dark Elf
85,2,Big Un Blocker,Block,1,159621,YangZubr,Welcome to the 3rd Edition,Orc
86,3,Big Un Blocker,Block,1,159621,YangZubr,Welcome to the 3rd Edition,Orc
87,4,Orc Blitzer,Tackle,1,159621,YangZubr,Welcome to the 3rd Edition,Orc
88,5,Orc Blitzer,Strip Ball,1,159621,YangZubr,Welcome to the 3rd Edition,Orc
89,6,Orc Thrower,Block,1,159621,YangZubr,Welcome to the 3rd Edition,Orc
90,7,Orc Thrower,Block,1,159621,YangZubr,Welcome to the 3rd Edition,Orc
91,8,Orc Lineman,,1,159621,YangZubr,Welcome to the 3rd Edition,Orc
92,9,Orc Lineman,,1,159621,YangZubr,Welcome to the 3rd Edition,Orc
93,10,Orc Lineman,,1,159621,YangZubr,Welcome to the 3rd Edition,Orc
94,11,Orc Lineman,,1,159621,YangZubr,Welcome to the 3rd Edition,Orc
95,12,Goblin Lineman,,1,159621,YangZubr,Welcome to the 3rd Edition,Orc
96,1,Troll,,1,159621,YangZubr,Welcome to the 3rd Edition,Orc
97,99,rerolls,,3,159621,YangZubr,Welcome to the 3rd Edition,Orc
98,99,assistant_coaches,,1,159621,YangZubr,Welcome to the 3rd Edition,Orc
99,99,cheerleaders,,1,159621,YangZubr,Welcome to the 3rd Edition,Orc
100,1,Ogre,Block,1,159928,rio_bravo,Welcome to the 3rd Edition,Imperial Nobility
101,2,Bodyguard,Guard,1,159928,rio_bravo,Welcome to the 3rd Edition,Imperial Nobility
102,3,Bodyguard,Guard,1,159928,rio_bravo,Welcome to the 3rd Edition,Imperial Nobility
103,4,Bodyguard,Guard,1,159928,rio_bravo,Welcome to the 3rd Edition,Imperial Nobility
104,5,Bodyguard,,1,159928,rio_bravo,Welcome to the 3rd Edition,Imperial Nobility
105,6,Noble Blitzer,Dodge,1,159928,rio_bravo,Welcome to the 3rd Edition,Imperial Nobility
106,7,Noble Blitzer,Dodge,1,159928,rio_bravo,Welcome to the 3rd Edition,Imperial Nobility
107,8,Imperial Thrower,Leader,1,159928,rio_bravo,Welcome to the 3rd Edition,Imperial Nobility
108,9,Imperial Retainer,,1,159928,rio_bravo,Welcome to the 3rd Edition,Imperial Nobility
109,10,Imperial Retainer,,1,159928,rio_bravo,Welcome to the 3rd Edition,Imperial Nobility
110,11,Imperial Retainer,,1,159928,rio_bravo,Welcome to the 3rd Edition,Imperial Nobility
111,12,Imperial Retainer,,1,159928,rio_bravo,Welcome to the 3rd Edition,Imperial Nobility
112,13,Imperial Retainer,,1,159928,rio_bravo,Welcome to the 3rd Edition,Imperial Nobility
113,99,rerolls,,2,159928,rio_bravo,Welcome to the 3rd Edition,Imperial Nobility
114,99,assistant_coaches,,2,159928,rio_bravo,Welcome to the 3rd Edition,Imperial Nobility
115,1,Ogre Runt Punter,Leader,1,161492,Illia Karmazinskyi,Welcome to the 3rd Edition,Ogre
116,2,Ogre Blocker,Bullseye,1,161492,Illia Karmazinskyi,Welcome to the 3rd Edition,Ogre
117,3,Ogre Blocker,Block,1,161492,Illia Karmazinskyi,Welcome to the 3rd Edition,Ogre
118,4,Ogre Blocker,Block,1,161492,Illia Karmazinskyi,Welcome to the 3rd Edition,Ogre
119,5,Ogre Blocker,Block,1,161492,Illia Karmazinskyi,Welcome to the 3rd Edition,Ogre
120,6,Ogre Blocker,,1,161492,Illia Karmazinskyi,Welcome to the 3rd Edition,Ogre
121,7,Gnoblar Lineman,Lethal Flight,1,161492,Illia Karmazinskyi,Welcome to the 3rd Edition,Ogre
122,8,Gnoblar Lineman,Lethal Flight,1,161492,Illia Karmazinskyi,Welcome to the 3rd Edition,Ogre
123,9,Gnoblar Lineman,Dirty Player,1,161492,Illia Karmazinskyi,Welcome to the 3rd Edition,Ogre
124,10,Gnoblar Lineman,Lone Fouler,1,161492,Illia Karmazinskyi,Welcome to the 3rd Edition,Ogre
125,11,Gnoblar Lineman,,1,161492,Illia Karmazinskyi,Welcome to the 3rd Edition,Ogre
126,12,Gnoblar Lineman,,1,161492,Illia Karmazinskyi,Welcome to the 3rd Edition,Ogre
127,13,Gnoblar Lineman,,1,161492,Illia Karmazinskyi,Welcome to the 3rd Edition,Ogre
128,14,Gnoblar Lineman,,1,161492,Illia Karmazinskyi,Welcome to the 3rd Edition,Ogre
129,15,Gnoblar Lineman,,1,161492,Illia Karmazinskyi,Welcome to the 3rd Edition,Ogre
130,16,Gnoblar Lineman,,1,161492,Illia Karmazinskyi,Welcome to the 3rd Edition,Ogre
131,99,rerolls,,3,161492,Illia Karmazinskyi,Welcome to the 3rd Edition,Ogre
132,1,Mummy,Guard,1,160090,Yegor Davydenko,Welcome to the 3rd Edition,Shambling Undead
133,2,Mummy,Guard,1,160090,Yegor Davydenko,Welcome to the 3rd Edition,Shambling Undead
134,3,Wight Blitzer,Guard,1,160090,Yegor Davydenko,Welcome to the 3rd Edition,Shambling Undead
135,4,Wight Blitzer,Guard,1,160090,Yegor Davydenko,Welcome to the 3rd Edition,Shambling Undead
136,5,Skeleton Lineman,,1,160090,Yegor Davydenko,Welcome to the 3rd Edition,Shambling Undead
137,6,Skeleton Lineman,,1,160090,Yegor Davydenko,Welcome to the 3rd Edition,Shambling Undead
138,7,Zombie Lineman,,1,160090,Yegor Davydenko,Welcome to the 3rd Edition,Shambling Undead
139,8,Zombie Lineman,,1,160090,Yegor Davydenko,Welcome to the 3rd Edition,Shambling Undead
140,9,Zombie Lineman,,1,160090,Yegor Davydenko,Welcome to the 3rd Edition,Shambling Undead
141,10,Ghoul Runner,Block,1,160090,Yegor Davydenko,Welcome to the 3rd Edition,Shambling Undead
142,11,Ghoul Runner,Block,1,160090,Yegor Davydenko,Welcome to the 3rd Edition,Shambling Undead
143,12,Skeleton Lineman,,1,160090,Yegor Davydenko,Welcome to the 3rd Edition,Shambling Undead
144,99,rerolls,,4,160090,Yegor Davydenko,Welcome to the 3rd Edition,Shambling Undead
145,99,assistant_coaches,,1,160090,Yegor Davydenko,Welcome to the 3rd Edition,Shambling Undead
146,1,Looney,,1,160176,Ілля Лимар,Welcome to the 3rd Edition,Goblin
147,2,Bomma,Pass,1,160176,Ілля Лимар,Welcome to the 3rd Edition,Goblin
148,3,’Ooligan,Sneaky Git,1,160176,Ілля Лимар,Welcome to the 3rd Edition,Goblin
149,4,Doom Diver,Catch,1,160176,Ілля Лимар,Welcome to the 3rd Edition,Goblin
150,5,Fanatic,Mighty Blow,1,160176,Ілля Лимар,Welcome to the 3rd Edition,Goblin
151,6,Pogoer,Block,1,160176,Ілля Лимар,Welcome to the 3rd Edition,Goblin
152,7,Trained Troll,Block,1,160176,Ілля Лимар,Welcome to the 3rd Edition,Goblin
153,8,Trained Troll,Block,1,160176,Ілля Лимар,Welcome to the 3rd Edition,Goblin
154,9,Goblin Lineman,Diving Tackle,1,160176,Ілля Лимар,Welcome to the 3rd Edition,Goblin
155,10,Goblin Lineman,Diving Tackle,1,160176,Ілля Лимар,Welcome to the 3rd Edition,Goblin
156,11,Goblin Lineman,,1,160176,Ілля Лимар,Welcome to the 3rd Edition,Goblin
157,12,Goblin Lineman,,1,160176,Ілля Лимар,Welcome to the 3rd Edition,Goblin
158,13,Goblin Lineman,,1,160176,Ілля Лимар,Welcome to the 3rd Edition,Goblin
159,14,Goblin Lineman,,1,160176,Ілля Лимар,Welcome to the 3rd Edition,Goblin
160,15,Goblin Lineman,,1,160176,Ілля Лимар,Welcome to the 3rd Edition,Goblin
161,16,Goblin Lineman,,1,160176,Ілля Лимар,Welcome to the 3rd Edition,Goblin
162,99,rerolls,,2,160176,Ілля Лимар,Welcome to the 3rd Edition,Goblin
163,99,assistant_coaches,,1,160176,Ілля Лимар,Welcome to the 3rd Edition,Goblin
164,99,cheerleaders,,2,160176,Ілля Лимар,Welcome to the 3rd Edition,Goblin
165,99,BlitzerBestKeg,,1,160176,Ілля Лимар,Welcome to the 3rd Edition,Goblin
166,99,Bribes,,2,160176,Ілля Лимар,Welcome to the 3rd Edition,Goblin
167,1,Loren Forest Treeman,Grab,1,159681,vlad-khrychov,Welcome to the 3rd Edition,Wood Elf
168,2,Wardancer,Sidestep,1,159681,vlad-khrychov,Welcome to the 3rd Edition,Wood Elf
169,3,Wardancer,Strip Ball,1,159681,vlad-khrychov,Welcome to the 3rd Edition,Wood Elf
170,4,Wood Elf Catcher,Sidestep,1,159681,vlad-khrychov,Welcome to the 3rd Edition,Wood Elf
171,5,Wood Elf Catcher,Block,1,159681,vlad-khrychov,Welcome to the 3rd Edition,Wood Elf
172,6,Wood Elf Thrower,Leader,1,159681,vlad-khrychov,Welcome to the 3rd Edition,Wood Elf
173,7,Wood Elf Lineman,,1,159681,vlad-khrychov,Welcome to the 3rd Edition,Wood Elf
174,8,Wood Elf Lineman,,1,159681,vlad-khrychov,Welcome to the 3rd Edition,Wood Elf
175,9,Wood Elf Lineman,,1,159681,vlad-khrychov,Welcome to the 3rd Edition,Wood Elf
176,10,Wood Elf Lineman,,1,159681,vlad-khrychov,Welcome to the 3rd Edition,Wood Elf
177,11,Wood Elf Lineman,,1,159681,vlad-khrychov,Welcome to the 3rd Edition,Wood Elf
178,99,rerolls,,2,159681,vlad-khrychov,Welcome to the 3rd Edition,Wood Elf
179,1,Kroxigor,,1,160057,Sanngriðr,Welcome to the 3rd Edition,Lizardmen
180,2,Saurus Blocker,Block,1,160057,Sanngriðr,Welcome to the 3rd Edition,Lizardmen
181,3,Saurus Blocker,Block,1,160057,Sanngriðr,Welcome to the 3rd Edition,Lizardmen
182,4,Saurus Blocker,Block,1,160057,Sanngriðr,Welcome to the 3rd Edition,Lizardmen
183,5,Saurus Blocker,Block,1,160057,Sanngriðr,Welcome to the 3rd Edition,Lizardmen
184,6,Saurus Blocker,Guard,1,160057,Sanngriðr,Welcome to the 3rd Edition,Lizardmen
185,7,Saurus Blocker,Guard,1,160057,Sanngriðr,Welcome to the 3rd Edition,Lizardmen
186,8,Skink Lineman,,1,160057,Sanngriðr,Welcome to the 3rd Edition,Lizardmen
187,9,Skink Lineman,,1,160057,Sanngriðr,Welcome to the 3rd Edition,Lizardmen
188,10,Skink Lineman,,1,160057,Sanngriðr,Welcome to the 3rd Edition,Lizardmen
189,11,Skink Lineman,,1,160057,Sanngriðr,Welcome to the 3rd Edition,Lizardmen
190,99,rerolls,,2,160057,Sanngriðr,Welcome to the 3rd Edition,Lizardmen
191,99,assistant_coaches,,1,160057,Sanngriðr,Welcome to the 3rd Edition,Lizardmen
192,99,BlitzerBestKeg,,1,160057,Sanngriðr,Welcome to the 3rd Edition,Lizardmen
193,1,Zombie Lineman,,1,160885,Aдріан Вуйчик,Welcome to the 3rd Edition,Necromantic Horror
194,2,Ghoul Runner,Block,1,160885,Aдріан Вуйчик,Welcome to the 3rd Edition,Necromantic Horror
195,3,Ghoul Runner,Block,1,160885,Aдріан Вуйчик,Welcome to the 3rd Edition,Necromantic Horror
196,4,Wraith,,1,160885,Aдріан Вуйчик,Welcome to the 3rd Edition,Necromantic Horror
197,5,Wraith,,1,160885,Aдріан Вуйчик,Welcome to the 3rd Edition,Necromantic Horror
198,6,Flesh Golem,Guard,1,160885,Aдріан Вуйчик,Welcome to the 3rd Edition,Necromantic Horror
199,7,Flesh Golem,Guard,1,160885,Aдріан Вуйчик,Welcome to the 3rd Edition,Necromantic Horror
200,8,Werewolf,Block,1,160885,Aдріан Вуйчик,Welcome to the 3rd Edition,Necromantic Horror
201,9,Werewolf,Block,1,160885,Aдріан Вуйчик,Welcome to the 3rd Edition,Necromantic Horror
202,10,Zombie Lineman,,1,160885,Aдріан Вуйчик,Welcome to the 3rd Edition,Necromantic Horror
203,11,Zombie Lineman,,1,160885,Aдріан Вуйчик,Welcome to the 3rd Edition,Necromantic Horror
204,12,Zombie Lineman,,1,160885,Aдріан Вуйчик,Welcome to the 3rd Edition,Necromantic Horror
205,13,Zombie Lineman,,1,160885,Aдріан Вуйчик,Welcome to the 3rd Edition,Necromantic Horror
206,99,rerolls,,2,160885,Aдріан Вуйчик,Welcome to the 3rd Edition,Necromantic Horror
207,1,Kroxigor,,1,160834,prodam_garash,Welcome to the 3rd Edition,Lizardmen
208,2,Saurus Blocker,Block,1,160834,prodam_garash,Welcome to the 3rd Edition,Lizardmen
209,3,Saurus Blocker,Block,1,160834,prodam_garash,Welcome to the 3rd Edition,Lizardmen
210,4,Saurus Blocker,Block,1,160834,prodam_garash,Welcome to the 3rd Edition,Lizardmen
211,5,Saurus Blocker,Tackle,1,160834,prodam_garash,Welcome to the 3rd Edition,Lizardmen
212,6,Saurus Blocker,Tackle,1,160834,prodam_garash,Welcome to the 3rd Edition,Lizardmen
213,7,Saurus Blocker,Block,1,160834,prodam_garash,Welcome to the 3rd Edition,Lizardmen
214,9,Skink Lineman,,1,160834,prodam_garash,Welcome to the 3rd Edition,Lizardmen
215,8,Skink Lineman,,1,160834,prodam_garash,Welcome to the 3rd Edition,Lizardmen
216,10,Skink Lineman,,1,160834,prodam_garash,Welcome to the 3rd Edition,Lizardmen
217,11,Skink Lineman,,1,160834,prodam_garash,Welcome to the 3rd Edition,Lizardmen
218,99,rerolls,,2,160834,prodam_garash,Welcome to the 3rd Edition,Lizardmen
219,99,assistant_coaches,,1,160834,prodam_garash,Welcome to the 3rd Edition,Lizardmen
220,1,Grail Knight,Mighty Blow,1,159934,Dangard,Welcome to the 3rd Edition,Bretonnian
221,2,Grail Knight,Mighty Blow,1,159934,Dangard,Welcome to the 3rd Edition,Bretonnian
222,3,Bretonnian Knight Catcher,"Block, Jump Up",1,159934,Dangard,Welcome to the 3rd Edition,Bretonnian
223,4,Bretonnian Knight Catcher,Block,1,159934,Dangard,Welcome to the 3rd Edition,Bretonnian
224,5,Bretonnian Knight Thrower,Block,1,159934,Dangard,Welcome to the 3rd Edition,Bretonnian
225,6,Bretonnian Knight Thrower,Block,1,159934,Dangard,Welcome to the 3rd Edition,Bretonnian
226,7,Bretonnian Squire,Tackle,1,159934,Dangard,Welcome to the 3rd Edition,Bretonnian
227,9,Bretonnian Squire,,1,159934,Dangard,Welcome to the 3rd Edition,Bretonnian
228,8,Bretonnian Squire,,1,159934,Dangard,Welcome to the 3rd Edition,Bretonnian
229,10,Bretonnian Squire,,1,159934,Dangard,Welcome to the 3rd Edition,Bretonnian
230,11,Bretonnian Squire,,1,159934,Dangard,Welcome to the 3rd Edition,Bretonnian
231,12,Bretonnian Squire,,1,159934,Dangard,Welcome to the 3rd Edition,Bretonnian
232,99,rerolls,,4,159934,Dangard,Welcome to the 3rd Edition,Bretonnian
233,99,assistant_coaches,,1,159934,Dangard,Welcome to the 3rd Edition,Bretonnian
234,99,dedicated_fans,,1,159934,Dangard,Welcome to the 3rd Edition,Bretonnian
235,99,BlitzerBestKeg,,1,159934,Dangard,Welcome to the 3rd Edition,Bretonnian
236,1,Imperial Retainer,,1,160260,konquile,Third-Edition-Tryout-Tournament,Imperial Nobility
237,2,Imperial Retainer,,1,160260,konquile,Third-Edition-Tryout-Tournament,Imperial Nobility
238,3,Imperial Retainer,,1,160260,konquile,Third-Edition-Tryout-Tournament,Imperial Nobility
239,4,Imperial Retainer,,1,160260,konquile,Third-Edition-Tryout-Tournament,Imperial Nobility
240,7,Ogre,,1,160260,konquile,Third-Edition-Tryout-Tournament,Imperial Nobility
241,8,Noble Blitzer,Dodge,1,160260,konquile,Third-Edition-Tryout-Tournament,Imperial Nobility
242,9,Noble Blitzer,Dodge,1,160260,konquile,Third-Edition-Tryout-Tournament,Imperial Nobility
243,10,Bodyguard,,1,160260,konquile,Third-Edition-Tryout-Tournament,Imperial Nobility
244,11,Bodyguard,Guard,1,160260,konquile,Third-Edition-Tryout-Tournament,Imperial Nobility
245,12,Bodyguard,Guard,1,160260,konquile,Third-Edition-Tryout-Tournament,Imperial Nobility
246,13,Bodyguard,,1,160260,konquile,Third-Edition-Tryout-Tournament,Imperial Nobility
247,16,Imperial Thrower,,1,160260,konquile,Third-Edition-Tryout-Tournament,Imperial Nobility
248,99,rerolls,,3,160260,konquile,Third-Edition-Tryout-Tournament,Imperial Nobility
249,99,TempAgencyCheerleaders,,1,160260,konquile,Third-Edition-Tryout-Tournament,Imperial Nobility
250,9,Ogre Runt Punter,Leader,1,160740,copernicus,Third-Edition-Tryout-Tournament,Ogre
251,2,Ogre Blocker,Block,1,160740,copernicus,Third-Edition-Tryout-Tournament,Ogre
252,4,Ogre Blocker,Block,1,160740,copernicus,Third-Edition-Tryout-Tournament,Ogre
253,1,Ogre Blocker,Break Tackle,1,160740,copernicus,Third-Edition-Tryout-Tournament,Ogre
254,3,Gnoblar Lineman,Dirty Player,1,160740,copernicus,Third-Edition-Tryout-Tournament,Ogre
255,5,Gnoblar Lineman,,1,160740,copernicus,Third-Edition-Tryout-Tournament,Ogre
256,8,Gnoblar Lineman,,1,160740,copernicus,Third-Edition-Tryout-Tournament,Ogre
257,11,Gnoblar Lineman,,1,160740,copernicus,Third-Edition-Tryout-Tournament,Ogre
258,16,Gnoblar Lineman,,1,160740,copernicus,Third-Edition-Tryout-Tournament,Ogre
259,10,Gnoblar Lineman,,1,160740,copernicus,Third-Edition-Tryout-Tournament,Ogre
260,12,Gnoblar Lineman,,1,160740,copernicus,Third-Edition-Tryout-Tournament,Ogre
261,13,Gnoblar Lineman,,1,160740,copernicus,Third-Edition-Tryout-Tournament,Ogre
262,14,Gnoblar Lineman,,1,160740,copernicus,Third-Edition-Tryout-Tournament,Ogre
263,15,Gnoblar Lineman,,1,160740,copernicus,Third-Edition-Tryout-Tournament,Ogre
264,6,Skrorg Snowpelt,,1,160740,copernicus,Third-Edition-Tryout-Tournament,Ogre
265,99,rerolls,,2,160740,copernicus,Third-Edition-Tryout-Tournament,Ogre
266,99,TempAgencyCheerleaders,,1,160740,copernicus,Third-Edition-Tryout-Tournament,Ogre
267,1,Big Un Blocker,Block,1,160184,hoshburner,Third-Edition-Tryout-Tournament,Orc
268,2,Big Un Blocker,Block,1,160184,hoshburner,Third-Edition-Tryout-Tournament,Orc
269,5,Orc Blitzer,,1,160184,hoshburner,Third-Edition-Tryout-Tournament,Orc
270,6,Orc Blitzer,,1,160184,hoshburner,Third-Edition-Tryout-Tournament,Orc
271,9,Orc Thrower,Block,1,160184,hoshburner,Third-Edition-Tryout-Tournament,Orc
272,10,Orc Thrower,Block,1,160184,hoshburner,Third-Edition-Tryout-Tournament,Orc
273,11,Orc Lineman,,1,160184,hoshburner,Third-Edition-Tryout-Tournament,Orc
274,12,Orc Lineman,,1,160184,hoshburner,Third-Edition-Tryout-Tournament,Orc
275,13,Orc Lineman,,1,160184,hoshburner,Third-Edition-Tryout-Tournament,Orc
276,14,Goblin Lineman,,1,160184,hoshburner,Third-Edition-Tryout-Tournament,Orc
277,15,Goblin Lineman,,1,160184,hoshburner,Third-Edition-Tryout-Tournament,Orc
278,16,Troll,Guard,1,160184,hoshburner,Third-Edition-Tryout-Tournament,Orc
279,99,rerolls,,4,160184,hoshburner,Third-Edition-Tryout-Tournament,Orc
280,99,TempAgencyCheerleaders,,1,160184,hoshburner,Third-Edition-Tryout-Tournament,Orc
281,1,Altern Forest Treeman,Pro,1,160499,linkev,Third-Edition-Tryout-Tournament,Halfling
